とどく,to reach; to arrive; to get through; to get at; to be attentive; to pay attention; to be delivered; to carry (e.g. sound),届く,Godan verb with ku ending; intransitive verb
とける,to be solved; to be resolved; to loosen; to come untied; to come undone; to be removed (of restrictions); to be lifted (e.g. a ban),解ける,Ichidan verb; intransitive verb
ぶん,sentence; composition; text; writings; the literary arts (as opposed to the military arts); academia; literature; statement,文,Noun
たちあがる,to stand up; to get up; to rise; to recover; to take action; to start; to make the initial charge; to start up; to boot up,立ち上がる,Godan verb with ru ending; intransitive verb
ふへい,discontent; dissatisfaction; complaint; grievance,不平,Noun; No-adjective; Na-adjective
たいした,considerable; great; important; significant,大した,Pre-noun adjectival
くさる,to rot; to go bad; to decay; to spoil; to corrode; to weather; to crumble; to become useless; to blunt,腐る,Godan verb with ru ending; intransitive verb; Auxiliary verb
よろしく,well; properly; suitably; best regards; please remember me; please treat me favorably (favourably); please take care of; just like ...,宜しく,Expression; Adverb
うかがう,to ask; to inquire; to hear; to be told; to implore (a god for an oracle); to seek direction (from your superior); to visit,伺う,Godan verb with u ending; Transitive verb; intransitive verb
つうじる,"to be open (to traffic); to lead to; to communicate (with); to flow (liquid, current); to pass; to get through to; to be understood; to be comprehended",通じる,Ichidan verb; intransitive verb
かせぐ,"to earn (income); to make (money); to score (points, victory); to gain (time); to play (for time); to work hard (at one's job); to labor; to labour; to toil",稼ぐ,Godan verb with gu ending; Transitive verb; intransitive verb
ほほえむ,to smile,微笑む,Godan verb with mu ending; intransitive verb
やめる,"to resign; to retire; to quit; to leave (one's job, etc.)",辞める,Ichidan verb; Transitive verb
ふくむ,"to contain; to comprise; to have; to hold; to hold in the mouth; to bear in mind; to understand; to harbor (grudge, etc.); to harbour",含む,Godan verb with mu ending; Transitive verb
くるしむ,to suffer; to groan; to be worried,苦しむ,Godan verb with mu ending; intransitive verb
たね,seed (e.g. of a plant); pip; kind; variety; material (e.g. for an article); matter (e.g. of a story); subject; theme; ingredient,種,Noun
ちかごろ,lately; recently; nowadays,近頃,Adverbial noun; Temporal noun
もとづく,to be grounded on; to be based on; to be due to; to originate from,基づく,Godan verb with ku ending; intransitive verb
すすめる,"to recommend (someone to do); to advise; to encourage; to urge; to recommend (a book, someone for a position, etc.); to suggest",勧める,Ichidan verb; Transitive verb
せめる,to condemn; to blame; to criticize; to criticise; to urge; to press; to pester; to torture; to torment; to persecute; to break in (a horse),責める,Ichidan verb; Transitive verb
すませる,to finish; to make an end of; to get through with; to let end,済ませる,Ichidan verb; Transitive verb
めん,face; mask; face guard; (in kendo) striking the head; surface (esp. a geometrical surface); page; aspect; facet; side; chamfer,面,Noun; Suffix; Counter
あん,idea; plan; proposal; suggestion; draft; rough copy; expectation; desk; stand,案,Noun; Noun - used as a suffix
つく,"to take (seat, position, course, office, etc.); to assume; to be hired; to be employed; to ascend (the throne); to accede; to start (on a journey)",就く,Godan verb with ku ending; intransitive verb
かける,to be chipped; to be damaged; to be broken; to be lacking; to be missing; to be insufficient; to be short; to be deficient; to be negligent toward,欠ける,Ichidan verb; intransitive verb
むく,"to turn toward; to look (up, down, etc.); to face (e.g. east); to look out on; to point to; to be suited to; to be fit for; to go in the direction of",向く,Godan verb with ku ending; intransitive verb
よこぎる,to cross (e.g. road); to traverse,横切る,Godan verb with ru ending; Transitive verb
おろす,to take down (e.g. flag); to launch (e.g. boat); to drop; to lower (e.g. ladder),下ろす,Godan verb with su ending; Transitive verb
きょうちょう,emphasis; highlight; stress; stressed point,強調,Noun; Suru verb
うまれ,"birth; birthplace; born in (country, month, imperial era, zodiac year, etc.)",生まれ,Noun; Noun - used as a suffix; No-adjective
ころぶ,to fall down; to fall over; to turn out; to play out; to abandon Christianity (and convert to Buddhism); to apostatize; to roll; to tumble,転ぶ,Godan verb with bu ending; intransitive verb
しょうじる,to produce; to yield; to cause; to result from; to arise; to be generated,生じる,Ichidan verb; Transitive verb; intransitive verb
おとる,to be inferior to; to be less good at; to fall behind,劣る,Godan verb with ru ending; intransitive verb
